Day,Time,Sensor id,Installation id,DAQI,PM10 [ug/m3],PM10 [% of WHO guideline],PM2.5 [ug/m3],PM2.5 [% of WHO guideline],PM1 [ug/m3],NO2 [ug/m3],NO2 [% of WHO guideline],NO [ug/m3],O3 [ug/m3],O3 [% of WHO guideline],CO [ug/m3],CO [% of WHO guideline],SO2 [ug/m3],SO2 [% of WHO guideline],H2S [ug/m3],Temperature [°C],Wind speed [km/h],Wind bearing,Pressure [hPa],Humidity [%]
Monday,00:00:00,14558,118907.0,2.6,25.9,57.6,17.6,117.1,15.9,,,,,,,,,,,12.6,11.8,216.2,1017.2,90.3
Monday,00:00:00,14878,118912.0,2.3,21.1,46.9,13.2,87.9,12.7,,,,,,,,,,,12.4,11.8,215.9,1016.7,90.2
Monday,00:00:00,14882,118909.0,2.6,25.5,56.6,17.0,113.5,15.7,,,,,,,,,,,12.3,11.9,216.3,1016.7,91.0
Monday,00:00:00,14901,118908.0,2.4,23.2,51.5,15.4,102.9,14.6,,,,,,,,,,,12.6,12.8,243.5,1014.7,90.3
Monday,01:00:00,14558,118907.0,2.1,18.5,41.1,11.2,74.9,10.1,,,,,,,,,,,12.1,11.2,220.0,1017.1,90.9
Monday,01:00:00,14878,118912.0,2.1,17.2,38.2,9.9,66.2,9.3,,,,,,,,,,,12.1,11.2,219.7,1016.6,90.6
Monday,01:00:00,14882,118909.0,2.2,18.7,41.5,11.1,74.2,10.4,,,,,,,,,,,11.9,11.3,220.0,1016.7,91.5
Monday,01:00:00,14901,118908.0,1.9,15.4,34.2,8.3,55.6,7.9,,,,,,,,,,,12.1,12.1,246.9,1014.7,91.0
Monday,02:00:00,14558,118907.0,2.0,16.7,37.1,9.8,65.6,8.6,,,,,,,,,,,12.0,11.3,224.9,1016.9,90.9
Monday,02:00:00,14878,118912.0,2.0,15.8,35.2,8.9,59.2,8.2,,,,,,,,,,,12.0,11.4,224.9,1016.4,90.6
Monday,02:00:00,14882,118909.0,2.0,16.4,36.4,9.0,60.0,8.4,,,,,,,,,,,11.8,11.4,224.8,1016.5,91.5
Monday,02:00:00,14901,118908.0,2.0,16.1,35.8,9.0,60.0,8.4,,,,,,,,,,,11.9,12.3,252.6,1014.5,91.0
Monday,03:00:00,14558,118907.0,1.9,14.9,33.2,8.2,54.7,7.2,,,,,,,,,,,12.0,11.5,229.0,1016.8,90.3
Monday,03:00:00,14878,118912.0,1.9,14.7,32.7,7.9,52.4,7.2,,,,,,,,,,,11.9,11.4,228.8,1016.4,90.1
Monday,03:00:00,14882,118909.0,1.9,15.0,33.3,7.6,50.6,7.0,,,,,,,,,,,11.7,11.5,229.0,1016.4,91.0
Monday,03:00:00,14901,118908.0,1.9,15.3,34.0,8.1,53.8,7.3,,,,,,,,,,,11.9,12.5,257.3,1014.4,90.4
Monday,04:00:00,14558,118907.0,1.9,14.3,31.8,7.1,47.6,5.9,,,,,,,,,,,11.8,11.6,232.7,1016.9,89.7
Monday,04:00:00,14878,118912.0,1.8,12.5,27.8,5.7,37.7,4.9,,,,,,,,,,,11.7,11.6,232.6,1016.5,89.5
Monday,04:00:00,14882,118909.0,1.9,14.3,31.8,6.7,44.8,5.9,,,,,,,,,,,11.5,11.6,232.6,1016.5,90.4
Monday,04:00:00,14901,118908.0,1.8,12.9,28.7,5.5,36.6,4.6,,,,,,,,,,,11.6,12.7,262.5,1014.6,89.6
Monday,05:00:00,14558,118907.0,2.0,16.1,35.8,8.4,56.1,6.6,,,,,,,,,,,11.4,11.7,235.8,1017.1,89.4
Monday,05:00:00,14878,118912.0,1.8,13.1,29.2,6.1,40.5,5.1,,,,,,,,,,,11.3,11.7,235.8,1016.6,89.3
Monday,05:00:00,14882,118909.0,2.0,16.9,37.5,8.9,59.5,7.4,,,,,,,,,,,11.1,11.7,235.8,1016.6,90.0
Monday,05:00:00,14901,118908.0,1.8,14.1,31.3,6.2,41.3,4.8,,,,,,,,,,,11.2,12.8,266.6,1014.8,89.2
Monday,06:00:00,14558,118907.0,2.2,20.0,44.5,11.0,73.6,8.6,,,,,,,,,,,10.9,11.5,240.0,1017.2,89.6
Monday,06:00:00,14878,118912.0,2.0,16.2,35.9,8.7,57.7,7.7,,,,,,,,,,,10.9,11.5,239.6,1016.7,89.6
Monday,06:00:00,14882,118909.0,2.1,18.7,41.5,10.4,69.2,8.6,,,,,,,,,,,10.7,11.5,239.5,1016.8,90.2
Monday,06:00:00,14901,118908.0,2.1,18.0,39.9,8.8,58.3,7.1,,,,,,,,,,,10.9,12.5,271.4,1014.9,89.2
Monday,07:00:00,14558,118907.0,2.6,26.9,59.7,17.3,115.5,15.1,,,,,,,,,,,10.9,11.2,241.9,1017.6,89.3
Monday,07:00:00,14878,118912.0,2.0,16.3,36.1,8.6,57.6,7.5,,,,,,,,,,,10.8,11.3,241.9,1017.1,89.1
Monday,07:00:00,14882,118909.0,2.4,22.3,49.5,14.0,93.5,12.5,,,,,,,,,,,10.6,11.3,241.8,1017.2,90.0
Monday,07:00:00,14901,118908.0,2.1,18.2,40.5,9.8,65.6,8.4,,,,,,,,,,,10.8,12.1,274.3,1015.4,89.2
Monday,08:00:00,14558,118907.0,5.0,50.6,112.4,38.4,256.2,36.0,,,,,,,,,,,11.0,11.2,244.4,1018.1,88.4
Monday,08:00:00,14878,118912.0,4.4,38.9,86.5,31.5,210.2,32.6,,,,,,,,,,,10.8,11.2,244.3,1017.6,88.4
Monday,08:00:00,14882,118909.0,8.0,68.6,152.4,57.8,385.5,54.4,,,,,,,,,,,10.7,11.2,244.4,1017.7,88.9
Monday,08:00:00,14901,118908.0,2.8,30.2,67.2,20.5,136.4,18.6,,,,,,,,,,,10.8,12.0,277.2,1015.9,88.3
Monday,09:00:00,14558,118907.0,6.4,58.2,129.4,47.2,314.5,45.8,,,,,,,,,,,11.2,11.8,249.4,1018.4,87.4
Monday,09:00:00,14878,118912.0,4.1,39.7,88.3,30.9,206.0,31.0,,,,,,,,,,,11.1,11.7,249.1,1017.9,87.5
Monday,09:00:00,14882,118909.0,7.3,64.1,142.4,52.9,352.5,50.0,,,,,,,,,,,11.0,11.8,249.2,1018.0,87.9
Monday,09:00:00,14901,118908.0,4.1,42.1,93.5,32.2,214.7,32.0,,,,,,,,,,,11.3,12.5,281.4,1016.2,87.2
Monday,10:00:00,14558,118907.0,4.0,42.5,94.5,31.3,208.8,29.0,,,,,,,,,,,12.0,12.5,253.0,1018.7,84.4
Monday,10:00:00,14878,118912.0,5.0,46.8,104.0,37.1,247.2,36.0,,,,,,,,,,,11.9,12.4,252.8,1018.3,84.7
Monday,10:00:00,14882,118909.0,4.3,44.2,98.2,33.4,222.9,31.1,,,,,,,,,,,11.6,12.5,253.0,1018.3,85.0
Monday,10:00:00,14901,118908.0,2.8,28.7,63.7,20.0,133.6,19.5,,,,,,,,,,,11.9,13.2,284.7,1016.7,84.6
Monday,11:00:00,14558,118907.0,4.7,48.2,107.2,35.7,237.8,30.3,,,,,,,,,,,13.0,12.8,198.5,1018.6,80.8
Monday,11:00:00,14878,118912.0,10.7,81.9,182.1,72.0,480.3,66.7,,,,,,,,,,,12.9,12.8,198.3,1018.1,80.9
Monday,11:00:00,14882,118909.0,4.6,46.9,104.2,36.5,243.6,33.4,,,,,,,,,,,12.6,12.8,198.5,1018.1,81.5
Monday,11:00:00,14901,118908.0,2.4,22.6,50.2,14.8,98.7,13.7,,,,,,,,,,,12.6,13.6,218.4,1016.6,81.2
Monday,12:00:00,14558,118907.0,6.2,56.8,126.2,45.0,300.0,42.1,,,,,,,,,,,13.8,12.7,220.6,1018.4,78.7
