Sensor id,Day,Date,Hour,PM,Period,Calc,Value
14558,1,,0,PM10,weekly,mean,25.94
14558,1,,0,PM2.5,weekly,mean,17.563333333333333
14558,1,,1,PM10,weekly,mean,18.485
14558,1,,1,PM2.5,weekly,mean,11.235
14558,1,,2,PM10,weekly,mean,16.713333333333335
14558,1,,2,PM2.5,weekly,mean,9.84
14558,1,,3,PM10,weekly,mean,14.94
14558,1,,3,PM2.5,weekly,mean,8.201666666666666
14558,1,,4,PM10,weekly,mean,14.291666666666666
14558,1,,4,PM2.5,weekly,mean,7.145
14558,1,,5,PM10,weekly,mean,16.09166666666667
14558,1,,5,PM2.5,weekly,mean,8.421666666666667
14558,1,,6,PM10,weekly,mean,20.01
14558,1,,6,PM2.5,weekly,mean,11.036666666666667
14558,1,,7,PM10,weekly,mean,26.88166666666667
14558,1,,7,PM2.5,weekly,mean,17.31833333333333
14558,1,,8,PM10,weekly,mean,50.56833333333333
14558,1,,8,PM2.5,weekly,mean,38.431666666666665
14558,1,,9,PM10,weekly,mean,58.208333333333336
14558,1,,9,PM2.5,weekly,mean,47.175000000000004
14558,1,,10,PM10,weekly,mean,42.54333333333333
14558,1,,10,PM2.5,weekly,mean,31.326666666666668
14558,1,,11,PM10,weekly,mean,48.221666666666664
14558,1,,11,PM2.5,weekly,mean,35.665
14558,1,,12,PM10,weekly,mean,56.78333333333333
14558,1,,12,PM2.5,weekly,mean,45.00666666666667
14558,1,,13,PM10,weekly,mean,73.94833333333334
14558,1,,13,PM2.5,weekly,mean,59.44166666666666
14558,1,,14,PM10,weekly,mean,63.40166666666667
14558,1,,14,PM2.5,weekly,mean,50.27666666666667
14558,1,,15,PM10,weekly,mean,58.56166666666667
14558,1,,15,PM2.5,weekly,mean,47.07833333333334
14558,1,,16,PM10,weekly,mean,60.47833333333333
14558,1,,16,PM2.5,weekly,mean,48.60333333333333
14558,1,,17,PM10,weekly,mean,64.10333333333334
14558,1,,17,PM2.5,weekly,mean,51.695
14558,1,,18,PM10,weekly,mean,63.805
14558,1,,18,PM2.5,weekly,mean,52.535
14558,1,,19,PM10,weekly,mean,68.93333333333334
14558,1,,19,PM2.5,weekly,mean,56.285
14558,1,,20,PM10,weekly,mean,69.24833333333333
14558,1,,20,PM2.5,weekly,mean,56.42166666666666
14558,1,,21,PM10,weekly,mean,54.96666666666667
14558,1,,21,PM2.5,weekly,mean,43.75333333333333
14558,1,,22,PM10,weekly,mean,37.791666666666664
14558,1,,22,PM2.5,weekly,mean,26.88
14558,1,,23,PM10,weekly,mean,25.885
14558,1,,23,PM2.5,weekly,mean,17.228333333333335
14558,2,,0,PM10,weekly,mean,18.478333333333335
14558,2,,0,PM2.5,weekly,mean,10.678333333333333
14558,2,,1,PM10,weekly,mean,16.041428571428572
14558,2,,1,PM2.5,weekly,mean,8.228571428571428
14558,2,,2,PM10,weekly,mean,16.908571428571427
14558,2,,2,PM2.5,weekly,mean,9.162857142857144
14558,2,,3,PM10,weekly,mean,16.26
14558,2,,3,PM2.5,weekly,mean,8.415714285714285
14558,2,,4,PM10,weekly,mean,17.77857142857143
14558,2,,4,PM2.5,weekly,mean,9.838571428571429
14558,2,,5,PM10,weekly,mean,20.915714285714284
14558,2,,5,PM2.5,weekly,mean,12.174285714285714
14558,2,,6,PM10,weekly,mean,21.341428571428573
14558,2,,6,PM2.5,weekly,mean,12.647142857142857
14558,2,,7,PM10,weekly,mean,23.774285714285714
14558,2,,7,PM2.5,weekly,mean,14.755714285714287
14558,2,,8,PM10,weekly,mean,39.69285714285714
14558,2,,8,PM2.5,weekly,mean,28.915714285714284
14558,2,,9,PM10,weekly,mean,88.49428571428572
14558,2,,9,PM2.5,weekly,mean,71.89571428571428
14558,2,,10,PM10,weekly,mean,60.675714285714285
14558,2,,10,PM2.5,weekly,mean,44.92285714285714
14558,2,,11,PM10,weekly,mean,64.81857142857143
14558,2,,11,PM2.5,weekly,mean,47.94571428571429
14558,2,,12,PM10,weekly,mean,72.13142857142857
14558,2,,12,PM2.5,weekly,mean,57.01857142857143
14558,2,,13,PM10,weekly,mean,79.74
14558,2,,13,PM2.5,weekly,mean,63.23142857142857
14558,2,,14,PM10,weekly,mean,70.29285714285714
14558,2,,14,PM2.5,weekly,mean,54.86571428571428
14558,2,,15,PM10,weekly,mean,60.528571428571425
14558,2,,15,PM2.5,weekly,mean,45.93714285714286
