From,Till,Installation id,Sensor id,Location,DAQI,PM10 [ug/m3],PM10 [% of WHO guideline],PM2.5 [ug/m3],PM2.5 [% of WHO guideline],PM1 [ug/m3],NO2 [ug/m3],NO2 [% of WHO guideline],NO [ug/m3],O3 [ug/m3],O3 [% of WHO guideline],CO [ug/m3],CO [% of WHO guideline],SO2 [ug/m3],SO2 [% of WHO guideline],H2S [ug/m3],Temperature [°C],Wind speed [km/h],Wind bearing,Pressure [hPa],Humidity [%]
2024-10-22T01:00:00+01:00,2024-10-22T02:00:00+01:00,118908,14901,Tooting High Street 11-19,1.79,13.11,29.13,5.54,36.94,5.12,,,,,,,,,,,10.61,8.04,231,1024.61,93.21
2024-10-22T02:00:00+01:00,2024-10-22T03:00:00+01:00,118908,14901,Tooting High Street 11-19,1.8,13.28,29.51,5.55,37.03,4.88,,,,,,,,,,,10.37,8.39,233.04,1024.72,93.4
2024-10-22T03:00:00+01:00,2024-10-22T04:00:00+01:00,118908,14901,Tooting High Street 11-19,1.74,12.36,27.46,4.71,31.43,3.69,,,,,,,,,,,10.06,8.67,232.82,1025.02,93.88
2024-10-22T04:00:00+01:00,2024-10-22T05:00:00+01:00,118908,14901,Tooting High Street 11-19,1.7,11.64,25.87,3.82,25.45,2.91,,,,,,,,,,,9.73,8.67,229.1,1025.38,94.5
2024-10-22T05:00:00+01:00,2024-10-22T06:00:00+01:00,118908,14901,Tooting High Street 11-19,1.66,11,24.44,3.24,21.63,2.24,,,,,,,,,,,9.51,8.64,227,1025.75,94.85
2024-10-22T06:00:00+01:00,2024-10-22T07:00:00+01:00,118908,14901,Tooting High Street 11-19,1.62,10.36,23.03,2.71,18.08,1.82,,,,,,,,,,,9.38,8.65,226.92,1026.2,94.88
2024-10-22T07:00:00+01:00,2024-10-22T08:00:00+01:00,118908,14901,Tooting High Street 11-19,1.64,10.65,23.66,3.12,20.78,2.46,,,,,,,,,,,9.37,8.81,226,1026.55,94.3
2024-10-22T08:00:00+01:00,2024-10-22T09:00:00+01:00,118908,14901,Tooting High Street 11-19,1.79,13.17,29.26,5.86,39.04,5.3,,,,,,,,,,,9.71,9.19,224.16,1027.23,92.59
2024-10-22T09:00:00+01:00,2024-10-22T10:00:00+01:00,118908,14901,Tooting High Street 11-19,20.67,144.57,321.27,134.57,897.11,133.49,,,,,,,,,,,10.85,10.36,224,1027.83,90.67
2024-10-22T10:00:00+01:00,2024-10-22T11:00:00+01:00,118908,14901,Tooting High Street 11-19,7.8,70.89,157.54,57.52,383.5,55.31,,,,,,,,,,,12.54,11.91,225.89,1028.22,87.27
2024-10-22T11:00:00+01:00,2024-10-22T12:00:00+01:00,118908,14901,Tooting High Street 11-19,2.76,28.1,62.45,20.64,137.63,20.55,,,,,,,,,,,14.52,14.33,231.97,1028.38,81.44
2024-10-22T12:00:00+01:00,2024-10-22T13:00:00+01:00,118908,14901,Tooting High Street 11-19,3.2,34.88,77.51,26.01,173.41,25.44,,,,,,,,,,,16.33,16.33,237.08,1028.42,77.27
2024-10-22T13:00:00+01:00,2024-10-22T14:00:00+01:00,118908,14901,Tooting High Street 11-19,3.45,38.9,86.45,28.98,193.17,29.17,,,,,,,,,,,17.72,17.48,240.48,1028.33,74.05
2024-10-22T14:00:00+01:00,2024-10-22T15:00:00+01:00,118908,14901,Tooting High Street 11-19,5.03,54.7,121.56,41.69,277.92,44.58,,,,,,,,,,,18.09,16.54,242.31,1028.38,73.26
2024-10-22T15:00:00+01:00,2024-10-22T16:00:00+01:00,118908,14901,Tooting High Street 11-19,3.65,42.48,94.4,31.41,209.38,30.92,,,,,,,,,,,17.92,15.46,244,1028.59,72.55
2024-10-22T16:00:00+01:00,2024-10-22T17:00:00+01:00,118908,14901,Tooting High Street 11-19,3.09,33.17,73.71,24.62,164.14,24.6,,,,,,,,,,,17.52,13.14,244.71,1028.9,73.91
2024-10-22T17:00:00+01:00,2024-10-22T18:00:00+01:00,118908,14901,Tooting High Street 11-19,2.97,30.55,67.88,23.17,154.48,22.96,,,,,,,,,,,16.8,10.51,237.68,1029.2,77.12
2024-10-22T18:00:00+01:00,2024-10-22T19:00:00+01:00,118908,14901,Tooting High Street 11-19,3.28,36.57,81.27,26.96,179.74,25.86,,,,,,,,,,,15.6,8.28,225.64,1029.83,81.83
2024-10-22T19:00:00+01:00,2024-10-22T20:00:00+01:00,118908,14901,Tooting High Street 11-19,3.36,38.11,84.7,27.86,185.76,25.85,,,,,,,,,,,14.63,7.12,218.79,1030.6,86.1
2024-10-22T20:00:00+01:00,2024-10-22T21:00:00+01:00,118908,14901,Tooting High Street 11-19,3.45,40.19,89.3,29.01,193.4,27.02,,,,,,,,,,,13.82,6.43,215.87,1031.18,89.83
2024-10-22T21:00:00+01:00,2024-10-22T22:00:00+01:00,118908,14901,Tooting High Street 11-19,3.48,40.44,89.87,29.36,195.7,27.93,,,,,,,,,,,13.33,6.19,214,1031.46,92.06
2024-10-22T22:00:00+01:00,2024-10-22T23:00:00+01:00,118908,14901,Tooting High Street 11-19,3.17,34.73,77.19,25.54,170.28,24.67,,,,,,,,,,,13.06,6.17,212,1031.47,93.41
2024-10-22T23:00:00+01:00,2024-10-23T00:00:00+01:00,118908,14901,Tooting High Street 11-19,2.43,23.98,53.28,16.48,109.9,15.72,,,,,,,,,,,12.49,6.06,210.27,1031.86,95.18
2024-10-23T00:00:00+01:00,2024-10-23T01:00:00+01:00,118908,14901,Tooting High Street 11-19,2.04,17.28,38.41,9.51,63.41,8.91,,,,,,,,,,,11.8,5.91,206.04,1032.09,97.62
2024-10-23T01:00:00+01:00,2024-10-23T02:00:00+01:00,118908,14901,Tooting High Street 11-19,1.87,14.37,31.94,6.82,45.44,6.09,,,,,,,,,,,11.31,5.89,199.47,1032.08,98.5
2024-10-23T02:00:00+01:00,2024-10-23T03:00:00+01:00,118908,14901,Tooting High Street 11-19,1.78,13,28.88,5.72,38.16,5.1,,,,,,,,,,,11.23,5.96,198.79,1032.25,98.69
2024-10-23T03:00:00+01:00,2024-10-23T04:00:00+01:00,118908,14901,Tooting High Street 11-19,1.8,13.31,29.57,5.77,38.46,5.24,,,,,,,,,,,11.24,6.03,207,1032.26,99.25
2024-10-23T04:00:00+01:00,2024-10-23T05:00:00+01:00,118908,14901,Tooting High Street 11-19,1.78,12.98,28.83,5.72,38.11,5.32,,,,,,,,,,,11.35,5.83,207,1031.99,99.25
2024-10-23T05:00:00+01:00,2024-10-23T06:00:00+01:00,118908,14901,Tooting High Street 11-19,1.89,14.77,32.81,7.39,49.27,7.05,,,,,,,,,,,11.37,5.42,206,1032.19,98.88
2024-10-23T06:00:00+01:00,2024-10-23T07:00:00+01:00,118908,14901,Tooting High Street 11-19,1.95,15.73,34.97,8.08,53.88,7.29,,,,,,,,,,,11.31,5.52,197,1032.29,98.22
2024-10-23T07:00:00+01:00,2024-10-23T08:00:00+01:00,118908,14901,Tooting High Street 11-19,2.15,19.2,42.66,11.62,77.48,10.82,,,,,,,,,,,11.62,5.42,187,1032.39,96.79
2024-10-23T08:00:00+01:00,2024-10-23T09:00:00+01:00,118908,14901,Tooting High Street 11-19,2.82,29.69,65.97,21.42,142.83,20.41,,,,,,,,,,,11.96,5.54,187,1032.59,96.31
2024-10-23T09:00:00+01:00,2024-10-23T10:00:00+01:00,118908,14901,Tooting High Street 11-19,2.79,28.84,64.09,21.09,140.59,20.64,,,,,,,,,,,13.19,6.18,193.32,1032.86,93.39
2024-10-23T10:00:00+01:00,2024-10-23T11:00:00+01:00,118908,14901,Tooting High Street 11-19,2.72,27.47,61.04,20.17,134.44,19.76,,,,,,,,,,,14.6,8.01,202.57,1032.83,90
2024-10-23T11:00:00+01:00,2024-10-23T12:00:00+01:00,118908,14901,Tooting High Street 11-19,3.33,37.13,82.51,27.54,183.62,27.28,,,,,,,,,,,16.01,10.37,208.24,1032.53,86.34
2024-10-23T12:00:00+01:00,2024-10-23T13:00:00+01:00,118908,14901,Tooting High Street 11-19,5.75,56.91,126.48,46.06,307.05,47.96,,,,,,,,,,,17.13,12.21,208.79,1032.29,82.16
2024-10-23T13:00:00+01:00,2024-10-23T14:00:00+01:00,118908,14901,Tooting High Street 11-19,12.85,94.04,208.97,87.65,584.33,93.05,,,,,,,,,,,17.88,13.11,208,1031.86,78.87
2024-10-23T14:00:00+01:00,2024-10-23T15:00:00+01:00,118908,14901,Tooting High Street 11-19,29.55,188.52,418.92,187.81,1252.08,201.03,,,,,,,,,,,18.05,12.87,206.56,1031.22,75.63
2024-10-23T15:00:00+01:00,2024-10-23T16:00:00+01:00,118908,14901,Tooting High Street 11-19,5.64,54.51,121.14,45.39,302.59,48.98,,,,,,,,,,,18.43,12.15,203.03,1030.4,73.62
2024-10-23T16:00:00+01:00,2024-10-23T17:00:00+01:00,118908,14901,Tooting High Street 11-19,3.83,41.42,92.03,33.5,223.31,34.63,,,,,,,,,,,18.22,11.56,196.64,1029.92,73.13
2024-10-23T17:00:00+01:00,2024-10-23T18:00:00+01:00,118908,14901,Tooting High Street 11-19,8.25,68.56,152.36,60.04,400.24,65.63,,,,,,,,,,,17.42,10.55,186.65,1029.64,74.77
2024-10-23T18:00:00+01:00,2024-10-23T19:00:00+01:00,118908,14901,Tooting High Street 11-19,14.42,103.2,229.33,97.06,647.07,105.51,,,,,,,,,,,15.94,9.38,174.06,1029.51,79.26
2024-10-23T19:00:00+01:00,2024-10-23T20:00:00+01:00,118908,14901,Tooting High Street 11-19,6.11,60.81,135.14,48.17,321.14,47.44,,,,,,,,,,,14.72,8.53,164.95,1029.42,83.3
2024-10-23T20:00:00+01:00,2024-10-23T21:00:00+01:00,118908,14901,Tooting High Street 11-19,14.27,103.58,230.19,96.18,641.19,99.55,,,,,,,,,,,13.84,7.82,153.97,1029.14,85.96
2024-10-23T21:00:00+01:00,2024-10-23T22:00:00+01:00,118908,14901,Tooting High Street 11-19,14.35,103.82,230.71,96.63,644.17,98.95,,,,,,,,,,,13.14,7.93,146,1028.66,87.27
2024-10-23T22:00:00+01:00,2024-10-23T23:00:00+01:00,118908,14901,Tooting High Street 11-19,7.84,67.47,149.93,57.74,384.92,56.31,,,,,,,,,,,12.5,8.73,140,1028.22,89.53
2024-10-23T23:00:00+01:00,2024-10-24T00:00:00+01:00,118908,14901,Tooting High Street 11-19,2.94,31.04,68.99,22.88,152.51,22.47,,,,,,,,,,,12.24,8.88,138,1027.43,90.67
2024-10-24T00:00:00+01:00,2024-10-24T01:00:00+01:00,118908,14901,Tooting High Street 11-19,2.23,20.48,45.5,13.4,89.33,13.45,,,,,,,,,,,12.35,9.84,139.85,1026.67,90.16
2024-10-24T01:00:00+01:00,2024-10-24T02:00:00+01:00,118908,14901,Tooting High Street 11-19,1.96,15.99,35.53,9.06,60.4,9.15,,,,,,,,,,,11.88,10.66,143.38,1026.06,90.38
2024-10-24T02:00:00+01:00,2024-10-24T03:00:00+01:00,118908,14901,Tooting High Street 11-19,1.8,13.34,29.64,6.23,41.51,6.01,,,,,,,,,,,11.55,10.8,144.83,1025.48,90.88
2024-10-24T03:00:00+01:00,2024-10-24T04:00:00+01:00,118908,14901,Tooting High Street 11-19,1.74,12.26,27.25,5.22,34.8,5.17,,,,,,,,,,,11.27,10.27,143.35,1024.49,91.64
